orden,ORDEN,IDREGION,IDCDP,CODGEO,REGION,DEPROV,COMUNA,RBD,DVRBD,NOMBRE,ALUMNOS,DDCIA,DDCIA_N,RURALIDAD,RURALIDAD_N,GRUPO,GRUPO_N,ALUM_LEN,ALUM_MAT,ALUM_NAT,PROM_LEN,PROM_MAT,Nivel Logro,PROM_NAT,DIF_LEN,SIG_LEN,DIF_MAT,SIG_MAT,DIF_NAT,SIG_NAT,DIFGRU_LEN,SIGGRU_LEN,DIFGRU_MAT,SIGGRU_MAT,DIFGRU_NAT,SIGGRU_NAT
1,61,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,5,1,Liceo Jovina Naranjo Fernández,18,MD,2,U,1,B,1,18,18,18,233,210,Inicial,217,-2,0,-24,-1,-25,-1,-13,-1,-24,-1,-24,-1
2,18,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,8,6,Colegio Integral Eduardo Frei Montalva,45,MD,2,U,1,C,2,42,44,44,260,236,Intermedio,238,15,1,-13,-1,3,0,-3,0,-18,-1,-18,-1
3,51,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,9,4,Escuela República de Israel,160,MD,2,U,1,D,3,159,158,159,273,263,Intermedio,265,-2,0,0,0,3,0,-11,-1,-16,-1,-16,-1
4,39,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,12,4,Escuela General José Miguel Carrera,40,MD,2,U,1,B,1,40,40,40,233,223,Inicial,219,-14,-1,-16,-1,-17,-1,-13,-1,-11,-1,-11,-1
5,46,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,13,2,Escuela Manuel Rodríguez Erdoyza,31,MD,2,U,1,B,1,31,31,31,248,258,Intermedio,246,9,0,44,1,10,0,2,0,24,1,24,1
6,54,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,17,5,Escuela Subteniente Luis Cruz Martínez,18,MD,2,U,1,B,1,17,18,18,251,275,Intermedio,261,14,0,57,1,14,0,5,0,41,1,41,1
7,33,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,18,3,Escuela Comandante Juan José San Martín,33,MD,2,U,1,B,1,32,29,30,245,237,Intermedio,230,-6,0,5,0,-14,-1,-1,0,3,0,3,0
8,42,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,19,1,Escuela Humberto Valenzuela García,33,MD,2,U,1,B,1,33,33,33,219,221,Inicial,227,-9,0,9,0,-6,0,-27,-1,-13,-1,-13,-1
9,55,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,20,5,Escuela Tucapel,36,MD,2,U,1,B,1,36,36,36,228,217,Inicial,220,5,0,22,1,10,0,-18,-1,-17,-1,-17,-1
10,36,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,27,2,Escuela Esmeralda,19,MD,2,U,1,C,2,19,17,17,267,248,Intermedio,250,28,1,20,1,18,1,4,0,-6,0,-6,0
11,52,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,28,0,Escuela Ricardo Silva Arriagada,36,MD,2,U,1,C,2,36,36,36,243,236,Intermedio,237,3,0,14,0,-3,0,-20,-1,-18,-1,-18,-1
